[::1] DEB:03/20/2014 - 08:34:37 | Starting Application
[::1] DEB:03/20/2014 - 11:58:16 | Expiration Time: 1395331086 (2014-03-20 11:58:06)
[::1] DEB:03/20/2014 - 11:58:16 | The item has expired
[::1] DEB:03/20/2014 - 11:58:16 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:58:16 | bIsValid: false
[::1] DEB:03/20/2014 - 11:58:16 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 11:58:16 | Flushing Cache
[::1] DEB:03/20/2014 - 14:23:55 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:24:18 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:24:49 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:25:27 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:25:41 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:28:10 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:29:20 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:29:20 | Request Url: http://external.ws.staywell.com//umiamikbws/Content.svc/GetContent?xmlRequest=<ContentTypeId="90" ContentId="P02730" />
[::1] DEB:03/20/2014 - 14:45:52 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:45:52 | Request Url: http://external.ws.staywell.com/umiamikbws/Content.svc/GetContent?xmlRequest=<ContentTypeId="90" ContentId="P02730" />
[::1] DEB:03/20/2014 - 14:48:39 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:49:00 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:49:03 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:49:09 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:49:11 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:49:13 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:49:32 | ******************** Starting test-health-library-request.php ********************
[::1] DEB:03/20/2014 - 14:49:32 | Request Url: http://external.ws.staywell.com/umiamikbws/Content.svc/GetContent?xmlRequest=<GetContent ContentTypeId="90" ContentId="P02730" />
